date,hour,price,priceUsd,priceEur
2021-01-14 00:00:00+03:00,00:00,319.81,42.87,35.26
2021-01-14 01:00:00+03:00,01:00,318.6,42.7,35.13
2021-01-14 02:00:00+03:00,02:00,316.21,42.38,34.87
2021-01-14 03:00:00+03:00,03:00,313.66,42.04,34.58
2021-01-14 04:00:00+03:00,04:00,313.5,42.02,34.57
2021-01-14 05:00:00+03:00,05:00,313.13,41.97,34.53
2021-01-14 06:00:00+03:00,06:00,314.65,42.17,34.69
2021-01-14 07:00:00+03:00,07:00,317.01,42.49,34.95
2021-01-14 08:00:00+03:00,08:00,325.0,43.56,35.84
2021-01-14 09:00:00+03:00,09:00,332.93,44.62,36.71
2021-01-14 10:00:00+03:00,10:00,334.77,44.87,36.91
2021-01-14 11:00:00+03:00,11:00,334.78,44.87,36.91
2021-01-14 12:00:00+03:00,12:00,330.13,44.25,36.4
2021-01-14 13:00:00+03:00,13:00,333.34,44.68,36.75
2021-01-14 14:00:00+03:00,14:00,336.04,45.04,37.05
2021-01-14 15:00:00+03:00,15:00,336.02,45.04,37.05
2021-01-14 16:00:00+03:00,16:00,338.6,45.38,37.33
2021-01-14 17:00:00+03:00,17:00,356.23,47.75,39.28
2021-01-14 18:00:00+03:00,18:00,349.0,46.78,38.48
2021-01-14 19:00:00+03:00,19:00,334.81,44.88,36.92
2021-01-14 20:00:00+03:00,20:00,328.51,44.03,36.22
2021-01-14 21:00:00+03:00,21:00,324.99,43.56,35.83
2021-01-14 22:00:00+03:00,22:00,320.4,42.94,35.33
2021-01-14 23:00:00+03:00,23:00,314.99,42.22,34.73
2021-01-15 00:00:00+03:00,00:00,313.78,42.24,34.65
2021-01-15 01:00:00+03:00,01:00,313.08,42.15,34.57
2021-01-15 02:00:00+03:00,02:00,309.99,41.73,34.23
2021-01-15 03:00:00+03:00,03:00,250.01,33.66,27.61
2021-01-15 04:00:00+03:00,04:00,239.99,32.31,26.5
2021-01-15 05:00:00+03:00,05:00,239.99,32.31,26.5
2021-01-15 06:00:00+03:00,06:00,275.0,37.02,30.37
2021-01-15 07:00:00+03:00,07:00,310.0,41.73,34.23
2021-01-15 08:00:00+03:00,08:00,318.9,42.93,35.22
2021-01-15 09:00:00+03:00,09:00,323.11,43.5,35.68
2021-01-15 10:00:00+03:00,10:00,323.57,43.56,35.73
2021-01-15 11:00:00+03:00,11:00,323.66,43.57,35.74
2021-01-15 12:00:00+03:00,12:00,318.68,42.9,35.19
2021-01-15 13:00:00+03:00,13:00,319.0,42.94,35.23
2021-01-15 14:00:00+03:00,14:00,325.31,43.79,35.93
2021-01-15 15:00:00+03:00,15:00,326.83,44.0,36.09
2021-01-15 16:00:00+03:00,16:00,326.2,43.91,36.02
2021-01-15 17:00:00+03:00,17:00,328.91,44.28,36.32
2021-01-15 18:00:00+03:00,18:00,329.0,44.29,36.33
2021-01-15 19:00:00+03:00,19:00,325.7,43.84,35.97
2021-01-15 20:00:00+03:00,20:00,323.57,43.56,35.73
2021-01-15 21:00:00+03:00,21:00,320.85,43.19,35.43
2021-01-15 22:00:00+03:00,22:00,319.03,42.95,35.23
2021-01-15 23:00:00+03:00,23:00,315.61,42.49,34.85
2021-01-16 00:00:00+03:00,00:00,319.02,43.18,35.52
2021-01-16 01:00:00+03:00,01:00,318.33,43.08,35.44
2021-01-16 02:00:00+03:00,02:00,314.98,42.63,35.07
2021-01-16 03:00:00+03:00,03:00,311.68,42.18,34.7
2021-01-16 04:00:00+03:00,04:00,310.83,42.07,34.61
2021-01-16 05:00:00+03:00,05:00,310.8,42.07,34.6
2021-01-16 06:00:00+03:00,06:00,311.24,42.12,34.65
2021-01-16 07:00:00+03:00,07:00,310.74,42.06,34.6
2021-01-16 08:00:00+03:00,08:00,313.22,42.39,34.87
2021-01-16 09:00:00+03:00,09:00,317.43,42.96,35.34
2021-01-16 10:00:00+03:00,10:00,319.0,43.18,35.52
2021-01-16 11:00:00+03:00,11:00,322.31,43.62,35.89
2021-01-16 12:00:00+03:00,12:00,319.42,43.23,35.56
2021-01-16 13:00:00+03:00,13:00,320.67,43.4,35.7
2021-01-16 14:00:00+03:00,14:00,320.0,43.31,35.63
2021-01-16 15:00:00+03:00,15:00,319.0,43.18,35.52
2021-01-16 16:00:00+03:00,16:00,317.45,42.97,35.34
2021-01-16 17:00:00+03:00,17:00,318.78,43.15,35.49
2021-01-16 18:00:00+03:00,18:00,320.61,43.39,35.7
2021-01-16 19:00:00+03:00,19:00,318.61,43.12,35.47
2021-01-16 20:00:00+03:00,20:00,315.19,42.66,35.09
2021-01-16 21:00:00+03:00,21:00,310.07,41.97,34.52
2021-01-16 22:00:00+03:00,22:00,275.0,37.22,30.62
2021-01-16 23:00:00+03:00,23:00,272.12,36.83,30.3
2021-01-17 00:00:00+03:00,00:00,308.99,41.82,34.47
2021-01-17 01:00:00+03:00,01:00,300.0,40.61,33.47
2021-01-17 02:00:00+03:00,02:00,268.99,36.41,30.01
2021-01-17 03:00:00+03:00,03:00,254.88,34.5,28.44
2021-01-17 04:00:00+03:00,04:00,262.99,35.6,29.34
2021-01-17 05:00:00+03:00,05:00,254.89,34.5,28.44
2021-01-17 06:00:00+03:00,06:00,254.89,34.5,28.44
2021-01-17 07:00:00+03:00,07:00,236.98,32.08,26.44
2021-01-17 08:00:00+03:00,08:00,186.99,25.31,20.86
2021-01-17 09:00:00+03:00,09:00,231.31,31.31,25.81
2021-01-17 10:00:00+03:00,10:00,270.91,36.67,30.22
2021-01-17 11:00:00+03:00,11:00,270.91,36.67,30.22
2021-01-17 12:00:00+03:00,12:00,290.0,39.25,32.35
2021-01-17 13:00:00+03:00,13:00,304.33,41.19,33.95
